,Player,Base Price,TYPE,COST IN ₹ (CR.),Cost IN $ (000),2021 Squad,Team,COST IN ₹ (CR.
585,Liam Guthrie,20 Lakh,BOWLER,,,,Unsold,
586,Liam Hatcher,20 Lakh,BOWLER,,,,Unsold,
587,Jay Bista,20 Lakh,ALL-ROUNDER,,,,Unsold,
588,Saurav Chuahan,20 Lakh,ALL-ROUNDER,,,,Unsold,
589,Tajinder Dhillon,20 Lakh,ALL-ROUNDER,,,,Unsold,
590,Dikshanshu Negi,20 Lakh,ALL-ROUNDER,,,,Unsold,
591,Abhishek Raut,20 Lakh,ALL-ROUNDER,,,,Unsold,
592,K.V. Sasikanth,20 Lakh,ALL-ROUNDER,,,,Unsold,
593,Bharat Sharma,20 Lakh,ALL-ROUNDER,,,,Unsold,
594,Shivam Sharma,20 Lakh,ALL-ROUNDER,,,,Unsold,
595,Amit Yadav,20 Lakh,ALL-ROUNDER,,,,Unsold,
596,Manoj Bhandage,20 Lakh,ALL-ROUNDER,,,,Unsold,
597,Arun Chaprana,20 Lakh,ALL-ROUNDER,,,,Unsold,
598,Ajay Dev Goud,20 Lakh,ALL-ROUNDER,,,,Unsold,
599,Divyang Hinganekar,20 Lakh,ALL-ROUNDER,,,,Unsold,
600,Azim Kazi,20 Lakh,ALL-ROUNDER,,,,Unsold,
601,Sujit Nayak,20 Lakh,ALL-ROUNDER,,,,Unsold,
602,Parth Sahani,20 Lakh,ALL-ROUNDER,,,,Unsold,
603,Ashutosh Sharma,20 Lakh,ALL-ROUNDER,,,,Unsold,
604,Vivrant Sharma,20 Lakh,ALL-ROUNDER,,,,Unsold,
605,Kumar Kartikeya Singh,20 Lakh,ALL-ROUNDER,,,,Unsold,
606,Ravi Chauhan,20 Lakh,ALL-ROUNDER,,,,Unsold,
607,Shafiqullah Ghafari,20 Lakh,ALL-ROUNDER,,,,Unsold,
608,M. Mohammed,20 Lakh,ALL-ROUNDER,,,,Unsold,
609,Pulkit Narang,20 Lakh,ALL-ROUNDER,,,,Unsold,
610,Pradosh Paul,20 Lakh,ALL-ROUNDER,,,,Unsold,
611,Pushpendra Singh Rathore,20 Lakh,ALL-ROUNDER,,,,Unsold,
612,Jason Sangha,20 Lakh,ALL-ROUNDER,,,,Unsold,
613,Purnank Tyagi,20 Lakh,ALL-ROUNDER,,,,Unsold,
614,Samarth Vyas,20 Lakh,ALL-ROUNDER,,,,Unsold,
615,Duan Jansen,20 Lakh,ALL-ROUNDER,,,,Unsold,
616,Dev Lakra,20 Lakh,ALL-ROUNDER,,,,Unsold,
617,Ajay Mandal,20 Lakh,ALL-ROUNDER,,,,Unsold,
618,Lakhan Raja,20 Lakh,ALL-ROUNDER,,,,Unsold,
619,Girinath Reddy,20 Lakh,ALL-ROUNDER,,,,Unsold,
620,Siddhant Sharma,20 Lakh,ALL-ROUNDER,,,,Unsold,
621,Matthew Short,20 Lakh,ALL-ROUNDER,,,,Unsold,
622,Saurin Thakar,20 Lakh,ALL-ROUNDER,,,,Unsold,
623,Nyeem Young,20 Lakh,ALL-ROUNDER,,,,Unsold,
624,Yuvraj Chaudhary,20 Lakh,ALL-ROUNDER,,,,Unsold,
625,Khizar Dafedar,20 Lakh,ALL-ROUNDER,,,,Unsold,
626,Sahil Dhiwan,20 Lakh,ALL-ROUNDER,,,,Unsold,
627,Arjit Gupta,20 Lakh,ALL-ROUNDER,,,,Unsold,
628,Mickil Jaiswal,20 Lakh,ALL-ROUNDER,,,,Unsold,
629,Ryan John,20 Lakh,ALL-ROUNDER,,,,Unsold,
630,J. Kousik,20 Lakh,ALL-ROUNDER,,,,Unsold,
631,Jitender Pal,20 Lakh,ALL-ROUNDER,,,,Unsold,
632,Jonty Sidhu,20 Lakh,ALL-ROUNDER,,,,Unsold,
633,Yashovardhan Singh,20 Lakh,ALL-ROUNDER,,,,Unsold,
634,Beyers Swanepoel,20 Lakh,ALL-ROUNDER,,,,Unsold,
635,Pranshu Vijayran,20 Lakh,ALL-ROUNDER,,,,Unsold,
636,Ishan Afridi,20 Lakh,ALL-ROUNDER,,,,Unsold,
637,Mohammed Afridi,20 Lakh,ALL-ROUNDER,,,,Unsold,
638,Prerit Agrawal,20 Lakh,ALL-ROUNDER,,,,Unsold,
639,Aidan Cahill,20 Lakh,ALL-ROUNDER,,,,Unsold,
640,Mark Deyal,20 Lakh,ALL-ROUNDER,,,,Unsold,
641,Nidhish Rajagopal,20 Lakh,ALL-ROUNDER,,,,Unsold,
642,Bavanaka Sandeep,20 Lakh,ALL-ROUNDER,,,,Unsold,
643,Safyaan Sharif,20 Lakh,ALL-ROUNDER,,,,Unsold,
644,Henry Shipley,20 Lakh,ALL-ROUNDER,,,,Unsold,
645,Maxwell Swaminathan,20 Lakh,ALL-ROUNDER,,,,Unsold,
646,Johan Van Dyk,20 Lakh,ALL-ROUNDER,,,,Unsold,
647,Dunith Wellalage,20 Lakh,ALL-ROUNDER,,,,Unsold,
648,Agnivesh Ayachi,20 Lakh,ALL-ROUNDER,,,PBKS,Unsold,
649,Rohan Rana,20 Lakh,ALL-ROUNDER,,,,Unsold,
650,Nitish Reddy,20 Lakh,ALL-ROUNDER,,,,Unsold,
651,Hardik Tamore,20 Lakh,WICKETKEEPER,,,,Unsold,
652,Mihir Hirwani,20 Lakh,BOWLER,,,,Unsold,
653,Sairaj Patil,20 Lakh,BATTER,,,,Unsold,
654,Monu Singh,20 Lakh,BOWLER,,,,Unsold,
655,Nivethan Radhakrishnan,20 Lakh,BOWLER,,,,Unsold,
656,Lance Morris,20 Lakh,BOWLER,,,,Unsold,
657,Aaron Hardie,20 Lakh,ALL-ROUNDER,,,,Unsold,
658,Suresh Raina,2 Cr,BATTER,,,CSK,Unsold,
659,Steve Smith,2 Cr,BATTER,,,DC,Unsold,
660,Shakib Al Hasan,2 Cr,ALL-ROUNDER,,,KKR,Unsold,
661,Amit Mishra,1.5 Cr,BOWLER,,,DC,Unsold,
662,Adil Rashid,2 Cr,BOWLER,,,PBKS,Unsold,
663,Imran Tahir,2 Cr,BOWLER,,,CSK,Unsold,
664,Mujeeb Zadran,2 Cr,BOWLER,,,SRH,Unsold,
665,Adam Zampa,2 Cr,BOWLER,,,RCB,Unsold,
666,Rajat Patidar,20 Lakh,BATTER,,,RCB,Unsold,
667,Mohammed Azharuddeen,20 Lakh,WICKETKEEPER,,,RCB,Unsold,
668,Vishnu Solanki,20 Lakh,WICKETKEEPER,,,,Unsold,
669,Sandeep Lamichhane,40 Lakh,BOWLER,,,,Unsold,
670,M. Siddharth,20 Lakh,BOWLER,,,DC,Unsold,
671,Aaron Finch,1.5 Cr,BATTER,,,,Unsold,
672,Marnus Labuschagne,1 Cr,BATTER,,,,Unsold,
673,Dawid Malan,1.5 Cr,BATTER,,,PBKS,Unsold,
674,Eoin Morgan,1.5 Cr,BATTER,,,KKR,Unsold,
675,Cheteshwar Pujara,50 Lakh,BATTER,,,CSK,Unsold,
676,Saurabh Tiwary,50 Lakh,BATTER,,,MI,Unsold,
677,Sheldon Cottrell,75 Lakh,BOWLER,,,,Unsold,
678,Ishant Sharma,1.5 Cr,BOWLER,,,DC,Unsold,
679,Qais Ahmad,50 Lakh,BOWLER,,,,Unsold,
680,Piyush Chawla,1 Cr,BOWLER,,,MI,Unsold,
681,Tabraiz Shamsi,1 Cr,BOWLER,,,RR,Unsold,
682,Ish Sodhi,50 Lakh,BOWLER,,,,Unsold,
683,Sachin Baby,20 Lakh,BATTER,,,RCB,Unsold,
684,Ricky Bhui,20 Lakh,BATTER,,,,Unsold,
685,Himanshu Rana,20 Lakh,BATTER,,,,Unsold,
686,Harnoor Singh,20 Lakh,BATTER,,,,Unsold,
687,Himmat Singh,20 Lakh,BATTER,,,,Unsold,
688,Virat Singh,20 Lakh,BATTER,,,SRH,Unsold,
689,Arzan Nagwaswalla,20 Lakh,BOWLER,,,,Unsold,
690,Akash Singh,20 Lakh,BOWLER,,,RR,Unsold,
691,Yash Thakur,20 Lakh,BOWLER,,,,Unsold,
692,Vasu Vats,20 Lakh,BOWLER,,,,Unsold,
693,Mujtaba Yousuf,20 Lakh,BOWLER,,,,Unsold,
694,Chris Lynn,1.5 Cr,BATTER,,,MI,Unsold,
695,Najibullah Zadran,50 Lakh,BATTER,,,,Unsold,
696,Charith Asalanka,50 Lakh,ALL-ROUNDER,,,,Unsold,
697,George Garton,50 Lakh,ALL-ROUNDER,,,RCB,Unsold,
698,Litton Das,50 Lakh,WICKETKEEPER,,,,Unsold,
699,Niroshan Dickwella,50 Lakh,WICKETKEEPER,,,,Unsold,
700,Andre Fletcher,50 Lakh,WICKETKEEPER,,,,Unsold,
701,Rahmanullah Gurbaz,50 Lakh,WICKETKEEPER,,,,Unsold,
702,Shai Hope,50 Lakh,WICKETKEEPER,,,,Unsold,
703,Heinrich Klaasen,50 Lakh,WICKETKEEPER,,,,Unsold,
704,Ben Mcdermott,50 Lakh,WICKETKEEPER,,,,Unsold,
705,Kusal Mendis,50 Lakh,WICKETKEEPER,,,,Unsold,
706,Kusal Perera,50 Lakh,WICKETKEEPER,,,,Unsold,
707,Joshua Philippe,1 Cr,WICKETKEEPER,,,,Unsold,
708,Reece Topley,75 Lakh,BOWLER,,,,Unsold,
709,Andrew Tye,1 Cr,BOWLER,,,RR,Unsold,
710,Sandeep Warrier,50 Lakh,BOWLER,,,KKR,Unsold,
711,Todd Astle,75 Lakh,BOWLER,,,,Unsold,
712,Akila Dhananjaya,50 Lakh,BOWLER,,,,Unsold,
713,Zahir Khan,50 Lakh,BOWLER,,,,Unsold,
714,Keshav Maharaj,50 Lakh,BOWLER,,,,Unsold,
715,Waqar Salamkheil,50 Lakh,BOWLER,,,,Unsold,
716,Rahul Sharma,50 Lakh,BOWLER,,,,Unsold,
717,Hayden Walsh,50 Lakh,BOWLER,,,,Unsold,
718,Tanmay Agarwal,20 Lakh,BATTER,,,,Unsold,
719,Shivam Chauhan,20 Lakh,BATTER,,,,Unsold,
720,Nikhil Gangta,20 Lakh,BATTER,,,,Unsold,
721,Rohan Kadam,20 Lakh,BATTER,,,,Unsold,
722,Tom Kohler-Cadmore,40 Lakh,BATTER,,,,Unsold,
723,Priyank Panchal,20 Lakh,BATTER,,,,Unsold,
724,Sameer Rizvi,20 Lakh,BATTER,,,,Unsold,
725,Ritwik Roy Chowdhury,20 Lakh,BATTER,,,,Unsold,
726,Apoorv Wankhade,20 Lakh,BATTER,,,,Unsold,
727,Atharva Ankolekar,20 Lakh,ALL-ROUNDER,,,,Unsold,
728,Tanay Thyagarajan,20 Lakh,ALL-ROUNDER,,,,Unsold,
729,Ankush Bains,20 Lakh,WICKETKEEPER,,,,Unsold,
730,Prashant Chopra,20 Lakh,WICKETKEEPER,,,,Unsold,
731,Kedar Devdhar,20 Lakh,WICKETKEEPER,,,,Unsold,
732,Shreevats Goswami,20 Lakh,WICKETKEEPER,,,SRH,Unsold,
733,Akshdeep Nath,20 Lakh,WICKETKEEPER,,,,Unsold,
734,Aditya Tare,20 Lakh,WICKETKEEPER,,,MI,Unsold,
735,Upendra Singh Yadav,20 Lakh,WICKETKEEPER,,,,Unsold,
736,Ben Dwarshuis,30 Lakh,BOWLER,,,,Unsold,
737,Pankaj Jaswal,20 Lakh,BOWLER,,,,Unsold,
738,Lukman Hussain Meriwala,20 Lakh,BOWLER,,,DC,Unsold,
739,Vyshak Vijay Kumar,20 Lakh,BOWLER,,,,Unsold,
740,Zeeshan Ansari,20 Lakh,BOWLER,,,,Unsold,
741,Yuvraj Chudasama,20 Lakh,BOWLER,,,,Unsold,
742,Dharmendrasinh Jadeja,20 Lakh,BOWLER,,,,Unsold,
743,Khrievitso Kense,20 Lakh,BOWLER,,,,Unsold,
744,Prince Balwant Rai,20 Lakh,BOWLER,,,,Unsold,
745,Pardeep Sahu,20 Lakh,BOWLER,,,,Unsold,
746,Jalaj Saxena,30 Lakh,BOWLER,,,PBKS,Unsold,
747,Midhun Sudhesan,20 Lakh,BOWLER,,,,Unsold,
748,Martin Guptill,75 Lakh,BATTER,,,,Unsold,
749,Usman Khawaja,1.5 Cr,BATTER,,,,Unsold,
750,Brandon King,50 Lakh,BATTER,,,,Unsold,
751,Janneman Malan,50 Lakh,BATTER,,,,Unsold,
752,Rilee Rossouw,1 Cr,BATTER,,,,Unsold,
753,Paul Stirling,50 Lakh,BATTER,,,,Unsold,
754,Hanuma Vihari,50 Lakh,BATTER,,,,Unsold,
755,James Vince,2 Cr,BATTER,,,,Unsold,
756,Hazratullah Zazai,50 Lakh,BATTER,,,,Unsold,
757,Roston Chase,1 Cr,ALL-ROUNDER,,,,Unsold,
758,Ben Cutting,75 Lakh,ALL-ROUNDER,,,KKR,Unsold,
759,Lewis Gregory,1.5 Cr,ALL-ROUNDER,,,,Unsold,
760,Moises Henriques,1 Cr,ALL-ROUNDER,,,PBKS,Unsold,
761,Akeal Hosein,50 Lakh,ALL-ROUNDER,,,,Unsold,
762,Karim Janat,50 Lakh,ALL-ROUNDER,,,,Unsold,
763,Scott Kuggeleijn,75 Lakh,ALL-ROUNDER,,,RCB,Unsold,
764,Pawan Negi,50 Lakh,ALL-ROUNDER,,,KKR,Unsold,
765,Taskin Ahmed,50 Lakh,BOWLER,,,,Unsold,
766,Marchant De Lange,2 Cr,BOWLER,,,,Unsold,
767,Dhawal Kulkarni,75 Lakh,BOWLER,,,MI,Unsold,
768,Saqib Mahmood,2 Cr,BOWLER,,,,Unsold,
769,Kane Richardson,1.5 Cr,BOWLER,,,RCB,Unsold,
770,Naveen Ul Haq,50 Lakh,BOWLER,,,,Unsold,
771,Harpreet Bhatia,40 Lakh,BATTER,,,,Unsold,
772,Sudip Chatterjee,20 Lakh,BATTER,,,,Unsold,
773,Hiten Dalal,20 Lakh,BATTER,,,,Unsold,
774,Abhimanyu Easwaran,20 Lakh,BATTER,,,,Unsold,
775,Laurie Evans,40 Lakh,BATTER,,,,Unsold,
776,Rahul Gahlaut,20 Lakh,BATTER,,,,Unsold,
777,Amandeep Khare,20 Lakh,BATTER,,,,Unsold,
778,Mayank Rawat,20 Lakh,BATTER,,,,Unsold,
779,Dhruv Shorey,20 Lakh,BATTER,,,,Unsold,
780,Hayden Kerr,20 Lakh,ALL-ROUNDER,,,,Unsold,
781,Saurabh Kumar,20 Lakh,ALL-ROUNDER,,,,Unsold,
782,Shams Mulani,20 Lakh,ALL-ROUNDER,,,,Unsold,
783,Dhruv Patel,20 Lakh,ALL-ROUNDER,,,,Unsold,
784,Atit Sheth,20 Lakh,ALL-ROUNDER,,,,Unsold,
785,Utkarsh Singh,20 Lakh,ALL-ROUNDER,,,,Unsold,
786,David Wiese,50 Lakh,ALL-ROUNDER,,,,Unsold,
787,Kaif Ahmad,20 Lakh,WICKETKEEPER,,,,Unsold,
788,Shubhum Arora,20 Lakh,WICKETKEEPER,,,,Unsold,
789,Arun Karthick,40 Lakh,WICKETKEEPER,,,,Unsold,
790,Eknath Kerkar,20 Lakh,WICKETKEEPER,,,,Unsold,
791,Kennar Lewis,40 Lakh,WICKETKEEPER,,,,Unsold,
792,Nikhil Naik,20 Lakh,WICKETKEEPER,,,,Unsold,
793,Urvil Patel,20 Lakh,WICKETKEEPER,,,,Unsold,
794,B.R. Sharath,20 Lakh,WICKETKEEPER,,,,Unsold,
795,K.L. Shrijith,20 Lakh,WICKETKEEPER,,,,Unsold,
796,Mohit Avasthi,20 Lakh,BOWLER,,,,Unsold,
797,Sushant Mishra,20 Lakh,BOWLER,,,,Unsold,
798,Matheesha Pathirana,20 Lakh,BOWLER,,,,Unsold,
799,G Periyasamy,20 Lakh,BOWLER,,,,Unsold,
800,M.Harishankar Reddy,20 Lakh,BOWLER,,,,Unsold,
801,R. Silambarasan,20 Lakh,BOWLER,,,,Unsold,
802,Aditya Thakare,20 Lakh,BOWLER,,,,Unsold,
803,Tanveer Ul Haq,20 Lakh,BOWLER,,,,Unsold,
804,Prithviraj Yarra,20 Lakh,BOWLER,,,,Unsold,
805,Satyajeet Bachhav,20 Lakh,BOWLER,,,,Unsold,
806,Chintal Gandhi,20 Lakh,BOWLER,,,,Unsold,
807,Jacob Lintott,20 Lakh,BOWLER,,,,Unsold,
808,Izharulhuq Naveed,20 Lakh,BOWLER,,,,Unsold,
809,Tanveer Sangha,20 Lakh,BOWLER,,,,Unsold,
810,Manav Suthar,20 Lakh,BOWLER,,,,Unsold,
811,Milind Tandon,20 Lakh,BOWLER,,,,Unsold,
812,Sagar Udeshi,20 Lakh,BOWLER,,,,Unsold,
813,Kushaal Wadhwani,20 Lakh,BOWLER,,,,Unsold,
814,Akshay Wakhare,20 Lakh,BOWLER,,,,Unsold,
815,Darren Bravo,75 Lakh,BATTER,,,,Unsold,
816,Shamrah Brooks,50 Lakh,BATTER,,,,Unsold,
817,Avishka Fernando,50 Lakh,BATTER,,,,Unsold,
818,Zubayr Hamza,50 Lakh,BATTER,,,,Unsold,
819,Pathum Nissaanka,50 Lakh,BATTER,,,,Unsold,
820,Kurtis Patterson,50 Lakh,BATTER,,,,Unsold,
821,Hashmatullah Shahidi,50 Lakh,BATTER,,,,Unsold,
822,Manoj Tiwary,50 Lakh,BATTER,,,,Unsold,
823,Ashton Agar,2 Cr,ALL-ROUNDER,,,,Unsold,
824,Carlos Brath15000000e,75 Lakh,ALL-ROUNDER,,,,Unsold,
825,Kedar Jadhav,1 Cr,ALL-ROUNDER,,,SRH,Unsold,
826,Colin Munro,1.5 Cr,ALL-ROUNDER,,,,Unsold,
827,Gulbadin Naib,50 Lakh,ALL-ROUNDER,,,,Unsold,
828,Keemo Paul,75 Lakh,ALL-ROUNDER,,,,Unsold,
829,Parvez Rasool,50 Lakh,ALL-ROUNDER,,,,Unsold,
830,Dasun Shanaka,50 Lakh,ALL-ROUNDER,,,,Unsold,
831,Wesley Agar,50 Lakh,BOWLER,,,,Unsold,
832,Shoriful Islam,50 Lakh,BOWLER,,,,Unsold,
833,Josh Little,50 Lakh,BOWLER,,,,Unsold,
834,Blessing Muzarabani,50 Lakh,BOWLER,,,,Unsold,
835,Jayden Seales,50 Lakh,BOWLER,,,,Unsold,
836,Mohit Sharma,50 Lakh,BOWLER,,,,Unsold,
837,Barinder Sran,50 Lakh,BOWLER,,,,Unsold,
838,Billy Stanlake,75 Lakh,BOWLER,,,,Unsold,
839,Neil Wagner,50 Lakh,BOWLER,,,,Unsold,
840,Qamran Iqbal,20 Lakh,BATTER,,,,Unsold,
841,Ishank Jaggi,20 Lakh,BATTER,,,,Unsold,
842,Rohan Kunnummal,20 Lakh,BATTER,,,,Unsold,
843,Tanmay Mishra,20 Lakh,BATTER,,,,Unsold,
844,Yash Nahar,20 Lakh,BATTER,,,,Unsold,
845,Shubham Singh Rohilla,20 Lakh,BATTER,,,,Unsold,
846,Alex Ross,20 Lakh,BATTER,,,,Unsold,
847,Naushad Shaikh,20 Lakh,BATTER,,,,Unsold,
848,Baba Aparajith,20 Lakh,ALL-ROUNDER,,,,Unsold,
849,Prayas Barman,20 Lakh,ALL-ROUNDER,,,,Unsold,
850,Yudhvir Charak,20 Lakh,ALL-ROUNDER,,,MI,Unsold,
851,Shubhang Hegde,20 Lakh,ALL-ROUNDER,,,,Unsold,
852,Roosh Kalaria,20 Lakh,ALL-ROUNDER,,,,Unsold,
853,Tanush Kotian,20 Lakh,ALL-ROUNDER,,,,Unsold,
854,Kaushal Tambe,20 Lakh,ALL-ROUNDER,,,,Unsold,
855,Shivank Vashisth,20 Lakh,ALL-ROUNDER,,,,Unsold,
856,Rahul Chandrol,20 Lakh,WICKETKEEPER,,,,Unsold,
857,Harvik Desai,20 Lakh,WICKETKEEPER,,,,Unsold,
858,Cam Fletcher,20 Lakh,WICKETKEEPER,,,,Unsold,
859,Tarang Gohel,20 Lakh,WICKETKEEPER,,,,Unsold,
860,Fazil Makaya,20 Lakh,WICKETKEEPER,,,,Unsold,
861,Ryan Rickelton,20 Lakh,WICKETKEEPER,,,,Unsold,
862,Sandeep Kumar Tomar,20 Lakh,WICKETKEEPER,,,,Unsold,
863,Siddhesh Wath,20 Lakh,WICKETKEEPER,,,,Unsold,
864,Stephen Cheepurupalli,20 Lakh,BOWLER,,,,Unsold,
865,Aniket Choudhary,20 Lakh,BOWLER,,,,Unsold,
866,Kartikeya Kak,20 Lakh,BOWLER,,,,Unsold,
867,Ali Khan,40 Lakh,BOWLER,,,,Unsold,
868,Kulwant Khejroliya,20 Lakh,BOWLER,,,DC,Unsold,
869,Ronit More,20 Lakh,BOWLER,,,,Unsold,
870,M Nidheesh,20 Lakh,BOWLER,,,,Unsold,
871,Babasafi Pathan,20 Lakh,BOWLER,,,,Unsold,
872,Vidyadhar Patil,20 Lakh,BOWLER,,,,Unsold,
873,Mukesh Kumar Singh,20 Lakh,BOWLER,,,,Unsold,
874,R. Alexandar,20 Lakh,BOWLER,,,,Unsold,
875,Adithya Ashok,20 Lakh,BOWLER,,,,Unsold,
876,Jasmer Dhankhar,20 Lakh,BOWLER,,,,Unsold,
877,Prerit Dutta,20 Lakh,BOWLER,,,,Unsold,
878,Jon Russ Jaggesar,20 Lakh,BOWLER,,,,Unsold,
879,S. Kishan Kumar,20 Lakh,BOWLER,,,,Unsold,
880,Kevin Koththigoda,20 Lakh,BOWLER,,,,Unsold,
881,Swaraj Wabale,20 Lakh,BOWLER,,,,Unsold,
882,Curtis Campher,50 Lakh,ALL-ROUNDER,,,,Unsold,
883,Colin De Grandhomme,1 Cr,ALL-ROUNDER,,,,Unsold,
884,James Faulkner,1 Cr,ALL-ROUNDER,,,,Unsold,
885,Craig Overton,2 Cr,ALL-ROUNDER,,,,Unsold,
886,Wayne Parnell,50 Lakh,ALL-ROUNDER,,,,Unsold,
887,Samit Patel,50 Lakh,ALL-ROUNDER,,,,Unsold,
888,Thisara Perera,50 Lakh,ALL-ROUNDER,,,,Unsold,
889,Darcy Short,1 Cr,ALL-ROUNDER,,,,Unsold,
890,Murali Vijay,50 Lakh,ALL-ROUNDER,,,,Unsold,
891,Jack Wildermuth,50 Lakh,ALL-ROUNDER,,,,Unsold,
892,Hamish Bennett,50 Lakh,BOWLER,,,,Unsold,
893,Daryn Dupavillon,50 Lakh,BOWLER,,,,Unsold,
894,Fidel Edwards,50 Lakh,BOWLER,,,,Unsold,
895,Hamid Hassan,50 Lakh,BOWLER,,,,Unsold,
896,Lahiru Kumara,50 Lakh,BOWLER,,,,Unsold,
897,Joel Paris,50 Lakh,BOWLER,,,,Unsold,
898,S. Sreesanth,50 Lakh,BOWLER,,,,Unsold,
899,Oshane Thomas,50 Lakh,BOWLER,,,,Unsold,
900,Blair Tickner,50 Lakh,BOWLER,,,,Unsold,
901,Isuru Udana,50 Lakh,BOWLER,,,,Unsold,
902,Donavon Ferreira,20 Lakh,BATTER,,,,Unsold,
903,Bhupen Lalwani,20 Lakh,BATTER,,,,Unsold,
904,Henan Malik,20 Lakh,BATTER,,,,Unsold,
905,Pukhraj Mann,20 Lakh,BATTER,,,,Unsold,
906,Shashwat Rawat,20 Lakh,BATTER,,,,Unsold,
907,Jake Weatherald,20 Lakh,BATTER,,,,Unsold,
908,Gerald Coetzee,20 Lakh,ALL-ROUNDER,,,,Unsold,
909,Akshay Karnewar,20 Lakh,ALL-ROUNDER,,,,Unsold,
910,Sumit Kumar,20 Lakh,ALL-ROUNDER,,,,Unsold,
911,Abid Mushtaq,20 Lakh,ALL-ROUNDER,,,,Unsold,
912,Lone Muzaffar,20 Lakh,ALL-ROUNDER,,,,Unsold,
913,Ninad Rathva,20 Lakh,ALL-ROUNDER,,,,Unsold,
914,Shoun Roger,20 Lakh,ALL-ROUNDER,,,,Unsold,
915,Jaideep Bhambhu,20 Lakh,BOWLER,,,,Unsold,
916,Nandre Burger,20 Lakh,BOWLER,,,,Unsold,
917,Matt Kelly,30 Lakh,BOWLER,,,,Unsold,
918,V Koushik,20 Lakh,BOWLER,,,,Unsold,
919,Akash Madhwal,20 Lakh,BOWLER,,,,Unsold,
920,Amit Mishra,20 Lakh,BOWLER,,,,Unsold,
921,Anuj Raj,20 Lakh,BOWLER,,,,Unsold,
922,Abhijeet Saket,20 Lakh,BOWLER,,,,Unsold,
923,Rahul Shukla,20 Lakh,BOWLER,,,,Unsold,
924,Nuwan Thushara,20 Lakh,BOWLER,,,,Unsold,
925,Mark Adnair,50 Lakh,ALL-ROUNDER,,,,Unsold,
926,Hilton Cartwright,50 Lakh,ALL-ROUNDER,,,,Unsold,
927,Gareth Delany,50 Lakh,ALL-ROUNDER,,,,Unsold,
928,Danushka Gunatilaka,50 Lakh,ALL-ROUNDER,,,,Unsold,
929,Anaru Kitchen,50 Lakh,ALL-ROUNDER,,,,Unsold,
930,Dhananjaya Lakshan,50 Lakh,ALL-ROUNDER,,,,Unsold,
931,Sisanda Magala,50 Lakh,ALL-ROUNDER,,,,Unsold,
932,Andile Phehlukwayo,50 Lakh,ALL-ROUNDER,,,,Unsold,
933,Seekkuge Prasanna,50 Lakh,ALL-ROUNDER,,,,Unsold,
934,Raymon Reifer,50 Lakh,ALL-ROUNDER,,,,Unsold,
935,Amit Ali,20 Lakh,ALL-ROUNDER,,,,Unsold,
936,Chaitanya Bishnoi,20 Lakh,ALL-ROUNDER,,,,Unsold,
937,Mayank Dagar,20 Lakh,ALL-ROUNDER,,,,Unsold,
938,Migael Pretorius,20 Lakh,ALL-ROUNDER,,,,Unsold,
939,Shivam Sharma,20 Lakh,ALL-ROUNDER,,,,Unsold,
940,Pratyush Singh,20 Lakh,ALL-ROUNDER,,,,Unsold,
941,Sanvir Singh,20 Lakh,ALL-ROUNDER,,,,Unsold,
942,Dhrushant Soni,20 Lakh,ALL-ROUNDER,,,,Unsold,
943,M Venkatesh,20 Lakh,ALL-ROUNDER,,,,Unsold,
944,Bandaru Ayyappa,20 Lakh,BOWLER,,,,Unsold,
945,Gurnoor Singh Brar,20 Lakh,BOWLER,,,,Unsold,
946,Akash Choudhary,20 Lakh,BOWLER,,,,Unsold,
947,Mohit Jangra,20 Lakh,BOWLER,,,,Unsold,
948,Aaqib Khan,20 Lakh,BOWLER,,,,Unsold,
949,Ruben Trumpelmann,20 Lakh,BOWLER,,,,Unsold,
950,Brad Wheal,50 Lakh,BOWLER,,,,Unsold,
951,Lalit Yadav,20 Lakh,BOWLER,,,,Unsold,
952,Auqib Dar,20 Lakh,ALL-ROUNDER,,,,Unsold,
953,Chirag Gandhi,20 Lakh,ALL-ROUNDER,,,,Unsold,
954,Chris Green,40 Lakh,ALL-ROUNDER,,,,Unsold,
955,Sijomon Joseph,20 Lakh,ALL-ROUNDER,,,,Unsold,
956,Anirudha Joshi,20 Lakh,ALL-ROUNDER,,,DC,Unsold,
957,Shubham Sharma,20 Lakh,ALL-ROUNDER,,,,Unsold,
958,Shubham Singh,20 Lakh,ALL-ROUNDER,,,,Unsold,
959,Arpit Guleria,20 Lakh,BOWLER,,,,Unsold,
960,Vipul Krishna,20 Lakh,BOWLER,,,,Unsold,
961,Safvan Patel,20 Lakh,BOWLER,,,,Unsold,
962,Chinntla Readdi,20 Lakh,BOWLER,,,,Unsold,
963,Manish Reddy,20 Lakh,BOWLER,,,,Unsold,
964,Ravi Sharma,20 Lakh,BOWLER,,,,Unsold,
965,Shubham Singh,20 Lakh,BOWLER,,,,Unsold,
966,Corbin Bosch,20 Lakh,ALL-ROUNDER,,,,Unsold,
967,Nathan McAndrew,20 Lakh,ALL-ROUNDER,,,,Unsold,
968,Diwesh Pathania,20 Lakh,ALL-ROUNDER,,,,Unsold,
969,Shubham Ranjane,20 Lakh,ALL-ROUNDER,,,,Unsold,
970,Tom Rogers,20 Lakh,ALL-ROUNDER,,,,Unsold,
971,Johannes Smit,20 Lakh,ALL-ROUNDER,,,,Unsold,
972,Sagar Trivedi,20 Lakh,ALL-ROUNDER,,,,Unsold,
